Latitude: 37.3261052, Longitude: -122.01973702
Latitude: 37.32479044, Longitude: -122.02507262
Latitude: 37.32482205, Longitude: -122.02507591
Latitude: 37.32485436, Longitude: -122.02507643
Latitude: 37.33020881, Longitude: -122.02514114
Latitude: 37.33020963, Longitude: -122.02510043
Latitude: 37.33020839, Longitude: -122.02506027
Latitude: 37.33020628, Longitude: -122.02501579
Latitude: 37.33020182, Longitude: -122.02497163
Latitude: 37.33020018, Longitude: -122.02492705
Latitude: 37.3302024, Longitude: -122.02488379
Latitude: 37.33020021, Longitude: -122.02484108
Latitude: 37.33019844, Longitude: -122.02479669
Latitude: 37.33019742, Longitude: -122.02475378
Latitude: 37.33019702, Longitude: -122.02471061
Latitude: 37.32759409, Longitude: -122.01974939
Latitude: 37.32756022, Longitude: -122.01974095
Latitude: 37.32752754, Longitude: -122.01973437
Latitude: 37.32749636, Longitude: -122.01972907
Latitude: 37.32746542, Longitude: -122.01972558
Latitude: 37.32743454, Longitude: -122.01972489
Latitude: 37.32740296, Longitude: -122.01972362
Latitude: 37.32737099, Longitude: -122.0197217
Latitude: 37.32733927, Longitude: -122.01971962
Latitude: 37.32730909, Longitude: -122.01971718
Latitude: 37.32727968, Longitude: -122.01971621
Latitude: 37.3272494, Longitude: -122.01971639
Latitude: 37.32721889, Longitude: -122.01971727
Latitude: 37.32718582, Longitude: -122.01971872
Latitude: 37.32715222, Longitude: -122.01972193
Latitude: 37.32711673, Longitude: -122.01972438
Latitude: 37.32708072, Longitude: -122.01972679
Latitude: 37.32639512, Longitude: -122.02622935
Latitude: 37.32641795, Longitude: -122.02626072
Latitude: 37.32643691, Longitude: -122.02629649
Latitude: 37.32644619, Longitude: -122.02633722
Latitude: 37.3264505, Longitude: -122.02637807
Latitude: 37.32645042, Longitude: -122.02641945
Latitude: 37.32645856, Longitude: -122.02645995
Latitude: 37.32647277, Longitude: -122.02650072
Latitude: 37.32648929, Longitude: -122.02653008
Latitude: 37.32650919, Longitude: -122.02655956
Latitude: 37.32653217, Longitude: -122.0265885
Latitude: 37.3266695, Longitude: -122.02674573
Latitude: 37.32669434, Longitude: -122.02676932
Latitude: 37.32672031, Longitude: -122.02679174
Latitude: 37.32674471, Longitude: -122.02681821
Latitude: 37.32677319, Longitude: -122.02683814
Latitude: 37.32680266, Longitude: -122.02684669
Latitude: 37.32683408, Longitude: -122.02685146
Latitude: 37.32686493, Longitude: -122.02685116
Latitude: 37.32689395, Longitude: -122.02685541
Latitude: 37.32692356, Longitude: -122.02685695
Latitude: 37.32695248, Longitude: -122.02685809
Latitude: 37.32698116, Longitude: -122.02685498
Latitude: 37.33087635, Longitude: -122.03055872
Latitude: 37.33090768, Longitude: -122.03056961
Latitude: 37.33093591, Longitude: -122.03058916
Latitude: 37.33096792, Longitude: -122.03059907
Latitude: 37.33099946, Longitude: -122.03061063
Latitude: 37.33102738, Longitude: -122.0306284
Latitude: 37.33105503, Longitude: -122.03063912
Latitude: 37.33108543, Longitude: -122.03064889
Latitude: 37.33111934, Longitude: -122.03065577
Latitude: 37.33115293, Longitude: -122.03066187
Latitude: 37.33118532, Longitude: -122.03066815
Latitude: 37.33026014, Longitude: -122.02768476
Latitude: 37.33025622, Longitude: -122.02763446
Latitude: 37.33025362, Longitude: -122.02758396
Latitude: 37.33025232, Longitude: -122.02753387
Latitude: 37.33025158, Longitude: -122.02748438
Latitude: 37.3302507, Longitude: -122.027435
Latitude: 37.33025023, Longitude: -122.02738579
Latitude: 37.33024947, Longitude: -122.0273368
Latitude: 37.33024878, Longitude: -122.02728991
Latitude: 37.330248, Longitude: -122.02724276
Latitude: 37.33024596, Longitude: -122.02719578
Latitude: 37.33023967, Longitude: -122.02714858
Latitude: 37.32567034, Longitude: -122.01971267
Latitude: 37.32563464, Longitude: -122.01972943
Latitude: 37.3256011, Longitude: -122.01973925
Latitude: 37.32556752, Longitude: -122.01974155
Latitude: 37.32553462, Longitude: -122.01974395
Latitude: 37.32550194, Longitude: -122.01974475
Latitude: 37.32546928, Longitude: -122.01974204
Latitude: 37.32543781, Longitude: -122.01974287
Latitude: 37.3254063, Longitude: -122.01974326
Latitude: 37.32537237, Longitude: -122.01974352
Latitude: 37.32533471, Longitude: -122.01974195
Latitude: 37.32529792, Longitude: -122.01974245
Latitude: 37.32465029, Longitude: -122.02313143
Latitude: 37.32464664, Longitude: -122.02314017
Latitude: 37.32464664, Longitude: -122.02314017
Latitude: 37.32463648, Longitude: -122.02314348
Latitude: 37.32463013, Longitude: -122.02314797
Latitude: 37.3246248, Longitude: -122.023166
Latitude: 37.32461958, Longitude: -122.02319907
Latitude: 37.32462324, Longitude: -122.02323353
Latitude: 37.32462605, Longitude: -122.02327306
Latitude: 37.3246282, Longitude: -122.02331837
Latitude: 37.32463487, Longitude: -122.02335996
Latitude: 37.32463256, Longitude: -122.02339656
Latitude: 37.3266695, Longitude: -122.02674573
Latitude: 37.32669434, Longitude: -122.02676932
Latitude: 37.32672031, Longitude: -122.02679174
Latitude: 37.32674471, Longitude: -122.02681821
Latitude: 37.32677319, Longitude: -122.02683814
Latitude: 37.32680266, Longitude: -122.02684669
Latitude: 37.32683408, Longitude: -122.02685146
Latitude: 37.32686493, Longitude: -122.02685116
Latitude: 37.32689395, Longitude: -122.02685541
Latitude: 37.32692356, Longitude: -122.02685695
Latitude: 37.32695248, Longitude: -122.02685809
Latitude: 37.3301922, Longitude: -122.02575657
Latitude: 37.33019085, Longitude: -122.02571177
Latitude: 37.33019062, Longitude: -122.02566455
Latitude: 37.33019121, Longitude: -122.02561845
Latitude: 37.33019019, Longitude: -122.02557003
Latitude: 37.33019528, Longitude: -122.02552394
Latitude: 37.33019539, Longitude: -122.02547858
Latitude: 37.33019612, Longitude: -122.02543657
Latitude: 37.3301975, Longitude: -122.02539606
Latitude: 37.33019912, Longitude: -122.02535325
Latitude: 37.33020173, Longitude: -122.0253108
Latitude: 37.33020607, Longitude: -122.0252685
Latitude: 37.3246749, Longitude: -122.02009632
Latitude: 37.32468097, Longitude: -122.02013394
Latitude: 37.32469186, Longitude: -122.02017112
Latitude: 37.32469731, Longitude: -122.02020869
Latitude: 37.32470253, Longitude: -122.02024928
Latitude: 37.32470957, Longitude: -122.02029078
Latitude: 37.32470929, Longitude: -122.02033741
Latitude: 37.32471272, Longitude: -122.02038118
Latitude: 37.32471219, Longitude: -122.02042495
Latitude: 37.3247129, Longitude: -122.02046765
Latitude: 37.32471475, Longitude: -122.02051335
Latitude: 37.32471396, Longitude: -122.02056409
Latitude: 37.33057552, Longitude: -122.02920851
Latitude: 37.33058271, Longitude: -122.02924708
Latitude: 37.33058856, Longitude: -122.02928659
Latitude: 37.33059364, Longitude: -122.02932551
Latitude: 37.33059976, Longitude: -122.02936438
Latitude: 37.33060766, Longitude: -122.02940612
Latitude: 37.33061853, Longitude: -122.02944176
Latitude: 37.33063424, Longitude: -122.02947562
Latitude: 37.33065347, Longitude: -122.02950551
Latitude: 37.33065778, Longitude: -122.02954165
Latitude: 37.33066583, Longitude: -122.02958007
Latitude: 37.33066671, Longitude: -122.02961745
Latitude: 37.33066301, Longitude: -122.02965575
Latitude: 37.33065576, Longitude: -122.02969491
Latitude: 37.33064656, Longitude: -122.02973332
Latitude: 37.33064469, Longitude: -122.02977349
Latitude: 37.33064155, Longitude: -122.02981273
Latitude: 37.33064386, Longitude: -122.02985251
Latitude: 37.33064294, Longitude: -122.02989419
Latitude: 37.33064452, Longitude: -122.02993665
Latitude: 37.3306482, Longitude: -122.02998145
Latitude: 37.33064651, Longitude: -122.03002441
Latitude: 37.3306495, Longitude: -122.03006835
Latitude: 37.33065, Longitude: -122.03011161
Latitude: 37.33065274, Longitude: -122.0301537
Latitude: 37.33065225, Longitude: -122.03019397
Latitude: 37.33065196, Longitude: -122.03023758
Latitude: 37.33065377, Longitude: -122.03027844
Latitude: 37.33065541, Longitude: -122.03032381
Latitude: 37.33019502, Longitude: -122.02306835
Latitude: 37.33006622, Longitude: -122.02113459
Latitude: 37.33006472, Longitude: -122.02108977
Latitude: 37.33006418, Longitude: -122.02104771
Latitude: 37.33005805, Longitude: -122.02100589
Latitude: 37.33005128, Longitude: -122.02096376
Latitude: 37.33004483, Longitude: -122.02092215
Latitude: 37.33003773, Longitude: -122.02088037
Latitude: 37.33002981, Longitude: -122.0208385
Latitude: 37.33001872, Longitude: -122.0207926
Latitude: 37.33000706, Longitude: -122.02074717
Latitude: 37.3299956, Longitude: -122.02070219
Latitude: 37.32998178, Longitude: -122.0206589
Latitude: 37.32996915, Longitude: -122.02061533
Latitude: 37.3299556, Longitude: -122.02057212
Latitude: 37.32994172, Longitude: -122.02053031
Latitude: 37.32992844, Longitude: -122.02048982
Latitude: 37.3299178, Longitude: -122.02044999
Latitude: 37.32762795, Longitude: -122.01975967
Latitude: 37.32759409, Longitude: -122.01974939
Latitude: 37.32756022, Longitude: -122.01974095
Latitude: 37.32752754, Longitude: -122.01973437
Latitude: 37.32749636, Longitude: -122.01972907
Latitude: 37.32746542, Longitude: -122.01972558
Latitude: 37.32743454, Longitude: -122.01972489
Latitude: 37.32740296, Longitude: -122.01972362
Latitude: 37.32737099, Longitude: -122.0197217
Latitude: 37.32733927, Longitude: -122.01971962
Latitude: 37.32730909, Longitude: -122.01971718
Latitude: 37.32473245, Longitude: -122.02135132
Latitude: 37.32473367, Longitude: -122.02139226
